client_id;card_level;creator_employee_id;creation_utc;creation_place_id
29732;3;3063;2013-12-02 23:55:00;1
29733;3;3063;2013-12-02 23:57:00;1
29734;3;3063;2013-12-02 23:58:00;1
29735;3;3063;2013-12-03 00:00:00;1
29756;2;3033;2013-12-03 07:06:00;3
29757;3;3033;2013-12-03 08:12:00;3
29760;2;3033;2013-12-03 09:59:00;3
29761;2;2034;2013-12-03 10:21:00;1
29765;2;4062;2013-12-03 14:33:00;2
29731;3;2035;2013-12-02 23:52:00;1
29792;2;3066;2013-12-04 18:01:00;1
29793;2;3061;2013-12-04 18:04:00;1
29794;2;3066;2013-12-04 18:17:00;1
29803;2;3061;2013-12-04 18:43:00;1
29811;2;3054;2013-12-04 20:34:00;3
29817;2;3063;2013-12-04 21:58:00;1
29818;2;3063;2013-12-04 22:04:00;1
29820;2;1024;2013-12-05 10:18:00;3
29829;2;1016;2013-12-05 14:01:00;2
29835;2;1016;2013-12-05 17:19:00;2
29837;2;3061;2013-12-05 22:22:00;1
29861;2;1016;2013-12-06 01:22:00;2
29868;2;3061;2013-12-06 02:52:00;1
29869;2;4059;2013-12-06 05:39:00;3
29870;2;3033;2013-12-06 11:14:00;3
29880;4;1004;2013-12-06 19:09:00;3
29887;2;2034;2013-12-06 20:26:00;2
29894;1;4061;2013-12-06 23:03:00;2
29895;1;4061;2013-12-06 23:04:00;2
29896;1;4061;2013-12-06 23:05:00;2
29897;1;4061;2013-12-06 23:06:00;2
29902;1;4061;2013-12-06 23:16:00;2
29903;1;4061;2013-12-06 23:17:00;1
29904;1;4061;2013-12-06 23:17:00;2
29905;1;4061;2013-12-06 23:18:00;2
29908;2;3050;2013-12-06 23:22:00;3
29911;1;4061;2013-12-06 23:24:00;2
29912;1;4061;2013-12-06 23:25:00;2
29913;1;4061;2013-12-06 23:26:00;2
29919;1;4061;2013-12-06 23:34:00;2
29921;1;4061;2013-12-06 23:36:00;2
29922;1;4061;2013-12-06 23:37:00;2
29929;2;4061;2013-12-07 05:01:00;2
29930;2;3053;2013-12-07 06:04:00;1
29936;2;3043;2013-12-07 14:31:00;2
29944;2;2034;2013-12-07 19:09:00;1
29945;2;2034;2013-12-07 19:11:00;1
29949;2;1025;2013-12-07 21:19:00;2
29951;2;3050;2013-12-07 21:25:00;3
29956;2;3050;2013-12-07 21:51:00;3
29957;2;1025;2013-12-07 21:53:00;2
29960;2;3050;2013-12-07 22:04:00;3
29966;2;3050;2013-12-07 22:25:00;3
29967;2;2034;2013-12-07 22:25:00;1
29973;2;2035;2013-12-07 23:01:00;1
29974;2;3050;2013-12-07 23:02:00;3
29975;2;2035;2013-12-07 23:08:00;1
29980;2;2035;2013-12-07 23:53:00;1
29982;2;2035;2013-12-08 00:15:00;1
29989;2;4061;2013-12-08 02:32:00;2
29991;2;4061;2013-12-08 02:40:00;2
29998;2;4059;2013-12-08 13:10:00;1
29999;2;4059;2013-12-08 13:12:00;1
30000;3;4061;2013-12-08 14:06:00;2
