expense_id;client_id;place_id;is_promo_type;creation_utc;creator_employee_id
798114;153724;3;1;2018-06-01 00:21:00;7537
798115;153725;3;0;2018-06-01 00:30:00;7537
798116;153725;3;0;2018-06-01 00:32:00;7537
798117;153725;3;0;2018-06-01 00:34:00;7537
798120;153726;3;0;2018-06-01 00:51:00;7537
798121;153727;3;0;2018-06-01 00:53:00;7537
798122;153727;3;0;2018-06-01 00:54:00;7537
798124;137746;3;0;2018-06-01 02:47:00;7537
798125;137746;3;0;2018-06-01 02:54:00;7537
798126;153728;3;0;2018-06-01 02:57:00;7537
798127;153728;3;1;2018-06-01 02:58:00;7537
798130;31505;3;0;2018-06-01 03:10:00;7537
798131;153726;3;0;2018-06-01 03:11:00;7537
798132;153724;3;0;2018-06-01 03:12:00;7537
798136;125317;1;0;2018-06-01 05:27:00;7536
798137;125317;1;0;2018-06-01 05:28:00;7536
798142;145445;1;0;2018-06-01 06:08:00;7536
798143;111928;1;0;2018-06-01 06:10:00;7536
798147;125317;1;0;2018-06-01 06:25:00;7536
798149;134080;1;0;2018-06-01 06:26:00;1031
798159;130354;1;0;2018-06-01 06:47:00;7536
798160;125317;1;0;2018-06-01 06:53:00;7536
798161;87735;1;0;2018-06-01 06:53:00;7536
798166;116654;1;0;2018-06-01 07:50:00;7536
798167;84601;1;0;2018-06-01 07:51:00;7536
798169;139993;1;0;2018-06-01 09:03:00;1031
798174;153360;1;0;2018-06-01 09:26:00;1031
798178;70938;1;0;2018-06-01 09:40:00;7536
798179;133292;1;0;2018-06-01 10:01:00;1031
798194;153729;1;0;2018-06-01 10:41:00;1031
798195;153715;1;0;2018-06-01 10:41:00;1031
798196;153729;1;0;2018-06-01 10:43:00;7536
798205;153735;1;0;2018-06-01 11:40:00;1031
798206;153443;1;0;2018-06-01 11:40:00;1031
798207;153443;1;0;2018-06-01 11:40:00;1031
798211;153734;1;0;2018-06-01 11:44:00;7536
798212;153443;1;0;2018-06-01 11:44:00;7536
798221;134080;1;0;2018-06-01 12:59:00;1031
798229;70938;1;0;2018-06-01 13:53:00;1031
798230;153737;3;0;2018-06-01 13:53:00;7570
798234;131478;3;0;2018-06-01 14:04:00;7570
798235;118428;1;0;2018-06-01 14:14:00;1031
798236;113120;1;0;2018-06-01 14:14:00;1031
798246;153177;3;0;2018-06-01 14:52:00;7570
798247;31505;3;0;2018-06-01 14:52:00;7570
798248;153181;3;0;2018-06-01 14:52:00;7570
798249;31505;3;0;2018-06-01 14:52:00;7570
798254;149340;3;0;2018-06-01 14:55:00;7570
798255;149340;3;0;2018-06-01 14:56:00;7570
798256;130353;1;0;2018-06-01 14:56:00;1031
798263;128779;3;0;2018-06-01 14:59:00;7570
798268;17718;3;0;2018-06-01 15:09:00;7570
798269;131478;3;0;2018-06-01 15:15:00;7570
798270;131478;3;0;2018-06-01 15:16:00;7570
798282;120633;3;0;2018-06-01 15:40:00;7570
798283;94234;3;0;2018-06-01 15:40:00;7570
798284;85964;3;0;2018-06-01 15:40:00;7570
798289;150784;3;0;2018-06-01 15:52:00;7570
798290;142800;3;0;2018-06-01 15:57:00;7570
798293;153179;3;0;2018-06-01 16:01:00;7570
798298;143280;3;0;2018-06-01 16:22:00;7570
798308;153738;1;0;2018-06-01 16:51:00;1031
798309;145766;1;0;2018-06-01 16:51:00;1031
798316;145766;1;0;2018-06-01 16:55:00;1031
798601;150632;1;0;2018-06-02 13:00:00;1031
798602;150632;1;0;2018-06-02 13:00:00;1031
798603;150843;1;0;2018-06-02 13:02:00;7536
798607;142120;3;0;2018-06-02 14:10:00;7512
798610;142120;3;0;2018-06-02 14:11:00;7512
798614;63718;1;0;2018-06-02 14:12:00;7536
798615;133903;3;0;2018-06-02 14:13:00;7512
798616;153766;3;0;2018-06-02 14:16:00;7512
798617;153766;3;0;2018-06-02 14:17:00;7512
798621;153767;3;1;2018-06-02 14:31:00;7512
798622;153768;3;0;2018-06-02 14:44:00;7512
798626;103427;3;0;2018-06-02 15:20:00;7512
798627;153769;1;0;2018-06-02 15:22:00;7536
798628;153769;1;0;2018-06-02 15:23:00;7536
798634;47035;3;0;2018-06-02 15:33:00;7512
798635;66285;1;0;2018-06-02 15:41:00;1031
798636;153380;1;0;2018-06-02 15:41:00;1031
798640;153771;1;0;2018-06-02 15:53:00;7536
798647;153769;1;0;2018-06-02 16:31:00;1031
798648;146021;1;0;2018-06-02 16:31:00;1031
798649;146021;1;0;2018-06-02 16:31:00;1031
798657;89311;3;0;2018-06-02 16:48:00;7512
798663;103863;1;0;2018-06-02 16:52:00;1031
798664;105855;1;0;2018-06-02 16:52:00;7536
798675;124659;3;0;2018-06-02 17:14:00;7512
798676;124661;3;0;2018-06-02 17:15:00;7512
798677;153772;3;0;2018-06-02 17:20:00;7512
798680;128079;3;0;2018-06-02 17:27:00;7512
798685;153768;3;0;2018-06-02 17:54:00;7512
798111;124734;3;0;2018-06-01 00:06:00;7537
798112;153724;3;0;2018-06-01 00:18:00;7537
798113;153724;3;0;2018-06-01 00:20:00;7537
798118;153725;3;1;2018-06-01 00:35:00;7537
798119;124734;3;0;2018-06-01 00:45:00;7537
798135;31505;3;0;2018-06-01 04:22:00;7537
798139;125317;1;0;2018-06-01 05:29:00;7536
798140;125317;1;0;2018-06-01 05:29:00;7536
798141;111928;1;0;2018-06-01 06:06:00;1031
798145;130976;1;0;2018-06-01 06:24:00;7536
798150;153377;1;0;2018-06-01 06:26:00;1031
798162;153715;1;0;2018-06-01 07:01:00;7536
798163;130353;1;0;2018-06-01 07:11:00;7536
798164;153729;1;0;2018-06-01 07:17:00;7536
798165;153729;1;0;2018-06-01 07:19:00;7536
798170;151610;1;0;2018-06-01 09:03:00;1031
798171;84601;1;0;2018-06-01 09:10:00;1031
798172;84601;1;0;2018-06-01 09:11:00;7536
798180;133292;1;0;2018-06-01 10:02:00;7536
798186;153734;1;0;2018-06-01 10:31:00;7536
798192;153735;1;0;2018-06-01 10:37:00;7536
798193;153715;1;0;2018-06-01 10:41:00;1031
798197;153715;1;0;2018-06-01 10:43:00;7536
798198;153715;1;0;2018-06-01 10:43:00;7536
798202;153556;1;0;2018-06-01 11:39:00;1031
798203;153734;1;0;2018-06-01 11:40:00;1031
798204;153443;1;0;2018-06-01 11:40:00;1031
798208;153735;1;0;2018-06-01 11:42:00;7536
798209;153443;1;0;2018-06-01 11:42:00;7536
798210;153556;1;0;2018-06-01 11:43:00;7536
798217;143383;1;0;2018-06-01 12:29:00;1031
798222;147694;1;0;2018-06-01 13:00:00;1031
798223;153377;1;0;2018-06-01 13:00:00;1031
798224;153360;1;0;2018-06-01 13:00:00;1031
798225;143280;3;0;2018-06-01 13:28:00;7570
798226;116848;3;0;2018-06-01 13:43:00;7570
798227;51787;1;0;2018-06-01 13:50:00;1031
798233;153021;3;0;2018-06-01 13:59:00;7570
798243;153360;1;0;2018-06-01 14:51:00;1031
798244;153179;3;0;2018-06-01 14:51:00;7570
798245;31505;3;0;2018-06-01 14:51:00;7570
798250;130976;1;0;2018-06-01 14:54:00;1031
798251;130354;1;0;2018-06-01 14:54:00;1031
798252;145445;1;0;2018-06-01 14:54:00;1031
798253;116654;1;0;2018-06-01 14:54:00;1031
798599;134423;1;0;2018-06-02 12:58:00;1031
798600;150843;1;0;2018-06-02 12:59:00;1031
798604;113122;1;0;2018-06-02 13:02:00;1031
798611;63718;1;0;2018-06-02 14:11:00;7536
798612;63718;1;0;2018-06-02 14:12:00;7536
798613;137728;3;0;2018-06-02 14:12:00;7512
798618;153766;3;1;2018-06-02 14:19:00;7512
798619;153767;3;0;2018-06-02 14:28:00;7512
798620;153767;3;0;2018-06-02 14:30:00;7512
798625;146021;1;0;2018-06-02 15:19:00;7536
798631;147567;3;0;2018-06-02 15:33:00;7512
798632;132375;3;0;2018-06-02 15:33:00;7512
798633;48121;3;0;2018-06-02 15:33:00;7512
798637;66285;1;0;2018-06-02 15:43:00;7536
798638;103427;3;0;2018-06-02 15:45:00;7512
798639;153770;1;0;2018-06-02 15:47:00;7536
798644;62405;3;0;2018-06-02 16:18:00;7512
798645;59429;3;0;2018-06-02 16:18:00;7512
798650;153769;1;0;2018-06-02 16:34:00;7536
798651;146021;1;0;2018-06-02 16:34:00;7536
798652;153772;3;0;2018-06-02 16:41:00;7512
798658;93155;3;0;2018-06-02 16:49:00;7512
798659;93155;3;0;2018-06-02 16:50:00;7512
798660;103863;1;0;2018-06-02 16:50:00;7536
798661;105855;1;0;2018-06-02 16:51:00;7536
798665;89311;3;0;2018-06-02 16:54:00;7512
798666;66138;3;0;2018-06-02 16:54:00;7512
798667;61733;3;0;2018-06-02 16:54:00;7512
798668;147337;1;0;2018-06-02 16:58:00;1031
798673;124659;3;0;2018-06-02 17:14:00;7512
798674;124658;3;0;2018-06-02 17:14:00;7512
798678;153775;3;0;2018-06-02 17:25:00;7512
798679;153775;3;0;2018-06-02 17:26:00;7512
798688;139047;1;0;2018-06-02 17:58:00;7536
798689;137249;1;0;2018-06-02 17:58:00;7536
798690;151120;1;0;2018-06-02 17:59:00;7536
798695;131783;1;0;2018-06-02 18:00:00;1031
798696;131783;1;0;2018-06-02 18:02:00;7536
798697;131620;1;0;2018-06-02 18:02:00;7536
798702;131620;1;0;2018-06-02 18:05:00;7536
798703;109440;1;0;2018-06-02 18:05:00;7536
798704;109439;1;0;2018-06-02 18:05:00;7536
798709;153771;1;0;2018-06-02 18:07:00;7536
798710;131620;1;0;2018-06-02 18:07:00;7536
798711;109440;1;0;2018-06-02 18:07:00;7536
798717;146040;1;0;2018-06-02 18:24:00;1031
798686;139047;1;0;2018-06-02 17:56:00;1031
798687;151120;1;0;2018-06-02 17:56:00;1031
798691;153771;1;0;2018-06-02 18:00:00;1031
798692;131620;1;0;2018-06-02 18:00:00;1031
798693;153770;1;0;2018-06-02 18:00:00;1031
798694;131783;1;0;2018-06-02 18:00:00;1031
798698;109440;1;0;2018-06-02 18:02:00;7536
798699;109439;1;0;2018-06-02 18:02:00;7536
798700;131620;1;0;2018-06-02 18:03:00;7536
798701;131620;1;0;2018-06-02 18:04:00;1031
798705;153770;1;0;2018-06-02 18:06:00;7536
798706;131783;1;0;2018-06-02 18:06:00;7536
798707;131620;1;0;2018-06-02 18:06:00;7536
798708;109440;1;0;2018-06-02 18:06:00;7536
798712;109439;1;0;2018-06-02 18:07:00;7536
798719;153381;1;0;2018-06-02 18:24:00;1031
798720;112988;1;0;2018-06-02 18:33:00;7536
798722;153127;3;0;2018-06-02 18:34:00;7512
798723;153127;3;0;2018-06-02 18:34:00;7512
798724;112988;1;0;2018-06-02 18:34:00;7536
798725;146020;1;0;2018-06-02 18:39:00;7536
798728;146020;1;0;2018-06-02 19:15:00;1031
798729;153380;1;0;2018-06-02 19:15:00;1031
798735;153370;1;0;2018-06-02 19:20:00;1031
