visit_id;client_id;place_id;start_utc;finish_utc
579770;153724;3;2018-06-01 00:14:00;2018-06-01 00:57:00
579771;153725;3;2018-06-01 00:33:00;2018-06-01 02:58:00
579772;153726;3;2018-06-01 00:51:00;2018-06-01 06:28:00
579773;153727;3;2018-06-01 00:54:00;2018-06-01 06:28:00
579774;31505;3;2018-06-01 03:25:00;2018-06-01 04:17:00
579775;54466;3;2018-06-01 04:05:00;2018-06-01 06:23:00
579776;134080;1;2018-06-01 04:29:00;2018-06-01 06:26:00
579777;153377;1;2018-06-01 04:29:00;2018-06-01 06:26:00
579778;150922;3;2018-06-01 04:32:00;2018-06-01 17:00:00
579779;143383;1;2018-06-01 05:07:00;2018-06-01 12:29:00
579780;87844;1;2018-06-01 05:19:00;2018-06-01 12:15:00
579781;145445;1;2018-06-01 06:05:00;2018-06-01 14:54:00
579782;153360;1;2018-06-01 06:14:00;2018-06-01 09:26:00
579783;130976;1;2018-06-01 06:23:00;2018-06-01 14:54:00
579784;130354;1;2018-06-01 06:45:00;2018-06-01 14:54:00
579785;153715;1;2018-06-01 07:02:00;2018-06-01 10:41:00
579786;130353;1;2018-06-01 07:10:00;2018-06-01 14:56:00
579787;116654;1;2018-06-01 07:47:00;2018-06-01 14:54:00
579788;153729;1;2018-06-01 07:49:00;2018-06-01 10:41:00
579789;84601;1;2018-06-01 07:50:00;2018-06-01 09:10:00
579790;133292;1;2018-06-01 09:07:00;2018-06-01 10:01:00
579791;48448;3;2018-06-01 09:08:00;2018-06-01 18:12:00
579792;142124;3;2018-06-01 09:08:00;2018-06-01 12:52:00
579793;153021;3;2018-06-01 09:16:00;2018-06-01 13:58:00
579794;17718;3;2018-06-01 09:19:00;2018-06-01 10:33:00
579795;72728;3;2018-06-01 09:19:00;2018-06-01 10:33:00
579796;70938;1;2018-06-01 09:39:00;2018-06-01 13:53:00
579797;121936;3;2018-06-01 10:14:00;2018-06-01 14:59:00
579798;121938;3;2018-06-01 10:15:00;2018-06-01 14:58:00
579799;153333;3;2018-06-01 10:15:00;2018-06-01 14:58:00
579800;153556;1;2018-06-01 10:23:00;2018-06-01 11:39:00
579801;153443;1;2018-06-01 10:24:00;2018-06-01 11:40:00
579802;153734;1;2018-06-01 10:32:00;2018-06-01 11:40:00
579803;62405;3;2018-06-01 10:45:00;2018-06-01 12:05:00
579804;153735;1;2018-06-01 10:47:00;2018-06-01 11:40:00
579805;147694;1;2018-06-01 11:04:00;2018-06-01 13:00:00
579806;153377;1;2018-06-01 11:04:00;2018-06-01 13:00:00
579807;134080;1;2018-06-01 11:04:00;2018-06-01 12:59:00
579808;153360;1;2018-06-01 11:04:00;2018-06-01 13:00:00
579809;78261;1;2018-06-01 11:16:00;2018-06-01 18:49:00
579810;51787;1;2018-06-01 11:21:00;2018-06-01 13:50:00
579811;149450;3;2018-06-01 11:31:00;2018-06-01 21:17:00
579812;97056;3;2018-06-01 11:33:00;2018-06-01 20:08:00
579813;131478;3;2018-06-01 12:01:00;2018-06-01 15:05:00
579814;152945;1;2018-06-01 12:21:00;2018-06-02 05:32:00
579815;128779;3;2018-06-01 12:45:00;2018-06-01 14:58:00
579816;133897;3;2018-06-01 12:56:00;2018-06-01 15:31:00
579817;133892;3;2018-06-01 12:56:00;2018-06-01 15:31:00
579818;142124;3;2018-06-01 12:56:00;2018-06-01 15:31:00
579819;124734;3;2018-06-01 12:56:00;2018-06-01 15:31:00
579820;143280;3;2018-06-01 13:08:00;2018-06-01 16:22:00
579821;118428;1;2018-06-01 13:23:00;2018-06-01 14:14:00
579822;113120;1;2018-06-01 13:24:00;2018-06-01 14:14:00
579823;120633;3;2018-06-01 13:34:00;2018-06-01 15:37:00
579824;116848;3;2018-06-01 13:37:00;2018-06-01 14:57:00
